P1,P2,P3
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
LOC,LOC,LOC
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
EFF,EFF,EFF
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
EFF,EFF,EFF
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
LOC,LOC,LOC
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
LOC,LOC,LOC
CRT,CRT,CRT
LOC,LOC,LOC
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
LOC,LOC,LOC
LOC,LOC,LOC
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
LOC,LOC,LOC
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
EFF,EFF,EFF
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
EFF,EFF,EFF
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
EFF,EFF,EFF
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
LOC,LOC,LOC
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
EFF,EFF,EFF
CRT,CRT,CRT
LOC,LOC,LOC
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
LOC,LOC,LOC
CRT,CRT,CRT
INS,INS,INS
CRT,CRT,CRT
EFF,EFF,EFF
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
EFF,EFF,EFF
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
LOC,LOC,LOC
EFF,EFF,EFF
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
LOC,LOC,LOC
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
CRT,CRT,CRT
CRT,CRT,CRT
LOC,LOC,LOC
FNS,FNS,FNS
EFF,EFF,EFF
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
EFF,EFF,EFF
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
EFF,EFF,EFF
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
LOC,LOC,LOC
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
EFF,EFF,EFF
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
EFF,EFF,EFF
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
LOC,LOC,LOC
FNS,FNS,FNS
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
EFF,EFF,EFF
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
EFF,EFF,EFF
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
EFF,EFF,EFF
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
EFF,EFF,EFF
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
LOC,LOC,LOC
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
EFF,EFF,EFF
INS,INS,INS
EFF,EFF,EFF
INS,INS,INS
EFF,EFF,EFF
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
LOC,LOC,LOC
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
EFF,EFF,EFF
INS,INS,INS
LOC,LOC,LOC
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
LOC,LOC,LOC
DIR,DIR,DIR
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,INS
EFF,EFF,EFF
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
EFF,EFF,EFF
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
LOC,LOC,LOC
EFF,EFF,EFF
FNS,FNS,FNS
CRT,CRT,CRT
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,INS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
CRT,CRT,CRT
EFF,EFF,EFF
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
CRT,CRT,CRT
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
INS,INS,INS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
DIR,DIR,DIR
CRT,CRT,CRT
INS,INS,INS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
DIR,DIR,DIR
CRT,CRT,CRT
CRT,CRT,CRT
CRT,CRT,CRT
LOC,LOC,LOC
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
DIR,DIR,DIR
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,FNS,FNS
FNS,FNS,FNS
CRT,CRT,CRT
DIR,DIR,DIR
CRT,CRT,CRT
